Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;27/12/2024;10:00:00;122.975;123.075;122.885;122.890;6.840.519.019,00;278.080
WINFUT;27/12/2024;09:50:00;123.020;123.040;122.880;122.975;4.570.515.720,00;185.872
WINFUT;27/12/2024;09:40:00;122.780;123.050;122.770;123.025;6.837.576.678,00;278.143
WINFUT;27/12/2024;09:30:00;122.735;122.900;122.660;122.785;7.506.036.242,00;305.657
WINFUT;27/12/2024;09:20:00;122.445;122.800;122.320;122.730;8.926.512.431,00;364.143
WINFUT;27/12/2024;09:10:00;122.315;122.475;122.210;122.450;7.067.250.114,00;288.775
WINFUT;27/12/2024;09:00:00;122.505;122.635;122.290;122.310;8.539.653.613,00;348.769
WINFUT;26/12/2024;18:20:00;122.585;122.640;122.515;122.640;587.403.637,00;23.961
WINFUT;26/12/2024;18:10:00;122.550;122.635;122.540;122.585;1.391.964.259,00;56.773
WINFUT;26/12/2024;18:00:00;122.580;122.670;122.495;122.550;2.585.282.937,00;105.460
WINFUT;26/12/2024;17:50:00;122.415;122.640;122.405;122.585;3.556.455.829,00;145.158
WINFUT;26/12/2024;17:40:00;122.500;122.515;122.355;122.415;3.805.152.677,00;155.392
WINFUT;26/12/2024;17:30:00;122.660;122.660;122.475;122.505;2.439.219.969,00;99.498
WINFUT;26/12/2024;17:20:00;122.615;122.675;122.580;122.660;2.456.282.894,00;100.153
WINFUT;26/12/2024;17:10:00;122.640;122.670;122.540;122.620;2.418.447.850,00;98.635
WINFUT;26/12/2024;17:00:00;122.660;122.725;122.615;122.640;2.923.433.452,00;119.166
WINFUT;26/12/2024;16:50:00;122.625;122.665;122.540;122.665;2.830.263.545,00;115.426
WINFUT;26/12/2024;16:40:00;122.635;122.675;122.530;122.625;3.568.022.163,00;145.509
WINFUT;26/12/2024;16:30:00;122.640;122.690;122.610;122.635;1.735.515.519,00;70.749
WINFUT;26/12/2024;16:20:00;122.640;122.695;122.595;122.640;2.560.946.338,00;104.408
WINFUT;26/12/2024;16:10:00;122.655;122.690;122.625;122.645;1.876.915.336,00;76.510
WINFUT;26/12/2024;16:00:00;122.755;122.755;122.590;122.655;4.930.296.070,00;200.967
WINFUT;26/12/2024;15:50:00;122.835;122.845;122.735;122.755;2.647.073.805,00;107.792
WINFUT;26/12/2024;15:40:00;122.870;122.880;122.730;122.835;4.294.731.663,00;174.863
WINFUT;26/12/2024;15:30:00;122.870;122.930;122.820;122.865;2.913.276.409,00;118.550
WINFUT;26/12/2024;15:20:00;122.885;122.970;122.850;122.875;4.275.257.084,00;173.918
WINFUT;26/12/2024;15:10:00;122.705;122.900;122.695;122.880;3.992.038.440,00;162.514
WINFUT;26/12/2024;15:00:00;122.775;122.900;122.695;122.710;4.995.116.579,00;203.404
WINFUT;26/12/2024;14:50:00;122.610;122.805;122.570;122.775;4.413.843.091,00;179.873
WINFUT;26/12/2024;14:40:00;122.810;122.810;122.570;122.610;4.336.120.951,00;176.704
WINFUT;26/12/2024;14:30:00;122.660;122.850;122.655;122.810;4.881.855.027,00;198.814
WINFUT;26/12/2024;14:20:00;122.540;122.685;122.525;122.660;3.444.352.965,00;140.480
WINFUT;26/12/2024;14:10:00;122.645;122.655;122.515;122.535;3.744.248.415,00;152.731
WINFUT;26/12/2024;14:00:00;122.715;122.745;122.600;122.640;3.792.421.485,00;154.566
WINFUT;26/12/2024;13:50:00;122.870;122.875;122.675;122.710;4.132.677.203,00;168.323
WINFUT;26/12/2024;13:40:00;122.890;122.935;122.820;122.870;3.231.380.322,00;131.484
WINFUT;26/12/2024;13:30:00;123.080;123.090;122.885;122.885;3.790.215.825,00;154.114
WINFUT;26/12/2024;13:20:00;122.975;123.110;122.950;123.080;4.524.299.612,00;183.850
WINFUT;26/12/2024;13:10:00;122.920;122.990;122.865;122.975;3.353.473.023,00;136.403
WINFUT;26/12/2024;13:00:00;122.680;122.975;122.675;122.915;6.308.217.919,00;256.807
WINFUT;26/12/2024;12:50:00;122.575;122.690;122.550;122.685;3.122.074.231,00;127.307
WINFUT;26/12/2024;12:40:00;122.590;122.645;122.530;122.575;3.242.176.068,00;132.245
WINFUT;26/12/2024;12:30:00;122.585;122.675;122.525;122.595;3.862.039.760,00;157.516
WINFUT;26/12/2024;12:20:00;122.650;122.715;122.555;122.585;4.387.670.648,00;178.874
WINFUT;26/12/2024;12:10:00;122.470;122.685;122.450;122.655;4.744.029.785,00;193.476
WINFUT;26/12/2024;12:00:00;122.535;122.550;122.385;122.475;5.250.751.284,00;214.384
WINFUT;26/12/2024;11:50:00;122.600;122.700;122.485;122.535;6.679.249.048,00;272.460
WINFUT;26/12/2024;11:40:00;122.235;122.650;122.230;122.605;7.704.452.598,00;314.613
WINFUT;26/12/2024;11:30:00;122.315;122.395;122.180;122.235;7.517.267.215,00;307.348
WINFUT;26/12/2024;11:20:00;122.125;122.320;122.100;122.315;4.682.949.561,00;191.581
WINFUT;26/12/2024;11:10:00;122.140;122.155;122.035;122.125;3.853.633.283,00;157.808
WINFUT;26/12/2024;11:00:00;122.120;122.275;122.065;122.145;5.815.615.370,00;238.022
WINFUT;26/12/2024;10:50:00;122.145;122.285;122.050;122.115;7.462.730.080,00;305.419
WINFUT;26/12/2024;10:40:00;122.000;122.230;121.970;122.140;6.212.196.967,00;254.337
WINFUT;26/12/2024;10:30:00;122.205;122.255;121.915;121.995;9.155.981.062,00;375.097
WINFUT;26/12/2024;10:20:00;122.240;122.295;122.110;122.210;6.582.779.140,00;269.357
WINFUT;26/12/2024;10:10:00;122.460;122.475;122.190;122.240;10.938.417.824,00;447.099
WINFUT;26/12/2024;10:00:00;122.315;122.585;122.305;122.455;8.526.844.861,00;348.246
WINFUT;26/12/2024;09:50:00;122.435;122.480;122.290;122.310;4.556.295.815,00;186.181
WINFUT;26/12/2024;09:40:00;122.390;122.545;122.325;122.440;5.786.395.444,00;236.328
WINFUT;26/12/2024;09:30:00;122.025;122.470;122.005;122.390;8.668.806.880,00;354.505
WINFUT;26/12/2024;09:20:00;121.815;122.045;121.735;122.030;7.018.962.951,00;287.897
WINFUT;26/12/2024;09:10:00;121.735;121.860;121.670;121.815;5.723.379.722,00;235.022
WINFUT;26/12/2024;09:00:00;122.205;122.310;121.660;121.735;10.521.199.327,00;431.564
WINFUT;23/12/2024;18:20:00;122.175;122.325;122.140;122.175;954.444.583,00;39.047
WINFUT;23/12/2024;18:10:00;122.280;122.330;122.095;122.175;2.697.394.000,00;110.347
WINFUT;23/12/2024;18:00:00;122.510;122.535;122.215;122.280;3.314.874.431,00;135.450
WINFUT;23/12/2024;17:50:00;122.580;122.615;122.455;122.510;2.978.343.699,00;121.522
WINFUT;23/12/2024;17:40:00;122.675;122.700;122.450;122.585;3.843.252.109,00;156.792
WINFUT;23/12/2024;17:30:00;122.570;122.695;122.555;122.675;2.685.723.391,00;109.497
